time,vehicle_id,vehicle_type,edge_id,lane_id,speed,waiting_time,position_x,position_y
3575.0,reverse_cars.99,car,150510724#4,150510724#4_2,0.0,47.0,4877.446,11752.412
3580.0,forward_bikes.126,bike,150510724#4,150510724#4_2,0.0,15.0,4728.399,11814.747
3580.0,forward_bikes.127,bike,150510724#4,150510724#4_2,0.0,11.0,4718.708,11818.8
3580.0,forward_bikes.128,bike,150510724#1,150510724#1_1,13.6,0.0,4492.927,11910.438
3580.0,forward_bikes.129,bike,150510724#1,150510724#1_1,13.596,0.0,4534.176,11893.032
3580.0,forward_bikes.130,bike,133763768#6,133763768#6_0,6.226,0.0,4406.344,11867.972
3580.0,forward_bikes.131,bike,133763768#0,133763768#0_0,0.0,34.0,4135.285,11604.967
3580.0,forward_bikes.132,bike,133763768#0,133763768#0_1,0.0,23.0,4128.489,11604.716
3580.0,forward_bikes.133,bike,:245613696_0,:245613696_0_0,0.0,8.0,4120.122,11595.41
3580.0,forward_bikes.134,bike,254053185#1,254053185#1_0,0.0,10.0,4121.266,11555.291
3580.0,forward_bikes.135,bike,254053185#1,254053185#1_0,0.003,4.0,4131.208,11540.279
3580.0,forward_bikes.136,bike,254053176#2,254053176#2_0,0.0,6.0,4136.259,11516.28
3580.0,forward_buses.13,bus,133763768#6,133763768#6_0,5.984,0.0,4391.601,11828.492
3580.0,forward_cars.242,car,150510724#4,150510724#4_0,0.0,21.0,4883.767,11742.826
3580.0,forward_cars.244,car,150510724#4,150510724#4_2,0.0,19.0,4747.779,11806.641
3580.0,forward_cars.249,car,150510724#4,150510724#4_2,0.0,17.0,4740.858,11809.536
3580.0,forward_cars.253,car,150510724#4,150510724#4_2,0.0,14.0,4724.245,11816.484
3580.0,forward_cars.256,car,150510724#3,150510724#3_1,13.157,0.0,4690.645,11827.136
3580.0,forward_cars.257,car,:cluster_1070361724_11307884034_11882719580_11882719581_#9more_11,:cluster_1070361724_11307884034_11882719580_11882719581_#9more_11_0,8.995,0.0,4432.396,11922.865
3580.0,forward_cars.258,car,133763768#6,133763768#6_0,6.58,0.0,4416.298,11894.508
3580.0,forward_cars.259,car,133763768#6,133763768#6_0,5.899,0.0,4396.665,11842.053
3580.0,forward_cars.260,car,133763768#6,133763768#6_0,5.772,0.0,4410.791,11879.879
3580.0,forward_cars.261,car,133763768#6,133763768#6_0,7.652,0.0,4383.099,11805.727
3580.0,forward_cars.262,car,133763768#6,133763768#6_0,8.509,0.0,4377.452,11790.605
3580.0,forward_cars.263,car,133763768#0,133763768#0_1,0.0,31.0,4133.675,11607.736
3580.0,forward_cars.264,car,133763768#0,133763768#0_0,0.0,29.0,4131.396,11602.705
3580.0,forward_cars.265,car,133763768#0,133763768#0_1,0.0,19.0,4124.6,11602.451
3580.0,forward_cars.266,car,133763768#0,133763768#0_0,0.0,11.0,4124.914,11598.935
3580.0,forward_cars.267,car,-254053187,-254053187_0,0.0,9.0,4126.957,11574.642
3580.0,forward_cars.268,car,254053185#1,254053185#1_0,0.0,11.0,4117.953,11560.295
3580.0,forward_cars.269,car,254053185#1,254053185#1_0,0.0,9.0,4123.752,11551.538
3580.0,forward_cars.270,car,254053185#1,254053185#1_0,0.0,6.0,4127.894,11545.283
3580.0,forward_cars.271,car,254053185#1,254053185#1_0,0.011,3.0,4133.696,11536.521
3580.0,forward_cars.272,car,254053185#1,254053185#1_0,0.065,3.0,4137.845,11530.255
3580.0,forward_cars.273,car,254053176#2,254053176#2_0,0.005,3.0,4132.638,11513.602
3580.0,forward_cars.274,car,254053176#2,254053176#2_0,0.022,2.0,4126.598,11509.135
3580.0,reverse_bikes.42,bike,24231604#3,24231604#3_1,0.0,29.0,4452.531,11912.699
3580.0,reverse_bikes.43,bike,111814614#5,111814614#5_0,12.482,0.0,4213.525,11634.849
3580.0,reverse_bikes.44,bike,24231604#3,24231604#3_1,0.0,20.0,4478.822,11901.667
3580.0,reverse_bikes.45,bike,24231604#3,24231604#3_1,0.0,23.0,4469.136,11905.731
3580.0,reverse_bikes.46,bike,111814614#6,111814614#6_0,12.697,0.0,4166.62,11613.833
3580.0,reverse_bikes.48,bike,24231604#2,24231604#2_0,13.398,0.0,4724.062,11802.334
3580.0,reverse_bikes.49,bike,150510724#4,150510724#4_2,0.0,54.0,4881.599,11750.675
3580.0,reverse_bikes.50,bike,150510724#4,150510724#4_2,0.0,49.0,4864.987,11757.622
3580.0,reverse_bikes.51,bike,150510724#4,150510724#4_2,0.0,42.0,4834.994,11770.166
3580.0,reverse_bikes.52,bike,150510724#4,150510724#4_2,0.0,38.0,4818.382,11777.114
3580.0,reverse_bikes.53,bike,150510724#4,150510724#4_2,0.0,33.0,4801.77,11784.061
3580.0,reverse_bikes.54,bike,150510724#4,150510724#4_2,0.0,29.0,4785.157,11791.009
3580.0,reverse_bikes.55,bike,150510724#4,150510724#4_2,0.0,26.0,4768.545,11797.957
3580.0,reverse_bikes.56,bike,150510724#4,150510724#4_2,0.0,21.0,4751.933,11804.904
3580.0,reverse_bikes.57,bike,150510724#4,150510724#4_2,0.001,9.0,4709.017,11822.853
3580.0,reverse_bikes.58,bike,-631197284#1,-631197284#1_0,0.0,23.0,4722.73,11827.219
3580.0,reverse_bikes.59,bike,-631197284#1,-631197284#1_0,0.0,19.0,4739.3,11820.178
3580.0,reverse_bikes.60,bike,-631197284#1,-631197284#1_0,0.0,12.0,4755.869,11813.136
3580.0,reverse_bikes.61,bike,-631197284#1,-631197284#1_0,0.002,7.0,4785.787,11800.422
3580.0,reverse_bikes.62,bike,-631197284#1,-631197284#1_0,0.03,3.0,4802.383,11793.37
3580.0,reverse_bikes.63,bike,-631197284#1,-631197284#1_0,0.178,0.0,4819.279,11786.189
3580.0,reverse_bikes.64,bike,-631197284#1,-631197284#1_0,1.044,0.0,4839.058,11777.784
3580.0,reverse_bikes.65,bike,-631197284#1,-631197284#1_0,0.723,0.0,4860.046,11768.87
3580.0,reverse_bikes.66,bike,-631197284#1,-631197284#1_0,0.069,214.0,4878.167,11761.174
3580.0,reverse_bikes.67,bike,-631197284#2,-631197284#2_0,0.0,221.0,4911.106,11747.411
3580.0,reverse_bikes.68,bike,-631197284#2,-631197284#2_0,0.0,217.0,4927.782,11740.625
3580.0,reverse_bikes.69,bike,-631197284#2,-631197284#2_0,0.0,212.0,4944.457,11733.84
3580.0,reverse_bikes.70,bike,-631197284#2,-631197284#2_0,0.0,207.0,4961.133,11727.054
3580.0,reverse_bikes.71,bike,-631197284#2,-631197284#2_0,0.0,201.0,4991.241,11714.803
3580.0,reverse_bikes.72,bike,-631197284#2,-631197284#2_0,0.0,197.0,5007.917,11708.017
3580.0,reverse_bikes.73,bike,-631197284#2,-631197284#2_0,0.0,194.0,5024.593,11701.231
3580.0,reverse_bikes.74,bike,-631197284#3,-631197284#3_0,0.0,197.0,5057.482,11687.811
3580.0,reverse_bikes.75,bike,-631197284#3,-631197284#3_0,0.0,193.0,5074.148,11681.001
3580.0,reverse_bikes.76,bike,-631197284#3,-631197284#3_0,0.0,188.0,5090.813,11674.19
3580.0,reverse_bikes.77,bike,-631197284#3,-631197284#3_0,0.0,184.0,5107.479,11667.379
3580.0,reverse_bikes.78,bike,-631197284#3,-631197284#3_0,0.0,181.0,5124.145,11660.569
3580.0,reverse_bikes.79,bike,-631197284#3,-631197284#3_0,0.0,175.0,5140.811,11653.758
3580.0,reverse_bikes.80,bike,-631197284#3,-631197284#3_0,0.0,171.0,5157.476,11646.948
3580.0,reverse_bikes.81,bike,-631197284#3,-631197284#3_0,0.0,166.0,5187.566,11634.652
3580.0,reverse_bikes.82,bike,-631197284#3,-631197284#3_0,0.0,160.0,5204.231,11627.841
3580.0,reverse_bikes.83,bike,-631197284#3,-631197284#3_0,0.0,156.0,5220.897,11621.03
3580.0,reverse_buses.2,bus,24231604#3,24231604#3_1,0.002,7.0,4531.403,11879.603
3580.0,reverse_buses.3,bus,24231604#2,24231604#2_1,1.55,0.0,4662.253,11824.729
3580.0,reverse_buses.4,bus,24231604#1,24231604#1_1,0.0,72.0,4748.534,11788.613
3580.0,reverse_buses.5,bus,150510724#4,150510724#4_2,0.0,46.0,4860.834,11759.359
3580.0,reverse_buses.6,bus,-631197284#1,-631197284#1_0,0.0,11.0,4760.012,11811.376
3580.0,reverse_buses.7,bus,-631197284#2,-631197284#2_0,0.0,206.0,4965.302,11725.357
3580.0,reverse_buses.8,bus,-631197284#3,-631197284#3_0,0.0,170.0,5161.643,11645.245
3580.0,reverse_cars.100,car,150510724#4,150510724#4_2,0.0,51.0,4870.524,11755.307
3580.0,reverse_cars.101,car,150510724#4,150510724#4_2,0.0,45.0,4847.453,11764.956
3580.0,reverse_cars.102,car,150510724#4,150510724#4_2,0.0,42.0,4840.531,11767.85
3580.0,reverse_cars.103,car,150510724#4,150510724#4_2,0.0,40.0,4830.841,11771.903
3580.0,reverse_cars.104,car,150510724#4,150510724#4_2,0.0,39.0,4823.919,11774.798
3580.0,reverse_cars.105,car,150510724#4,150510724#4_2,0.0,36.0,4814.228,11778.851
